1,2,280
1,3,351
1,4,110
1,5,94
1,6,125
1,7,493
1,8,416
1,9,258
1,10,449
1,11,444
1,12,378
1,13,507
1,14,111
2,1,280
2,3,438
2,4,128
2,5,351
2,6,216
2,7,513
2,8,471
2,9,101
2,10,332
2,11,152
2,12,202
2,13,168
2,14,230
3,1,351
3,2,438
3,4,453
3,5,328
3,6,493
3,7,270
3,8,333
3,9,187
3,10,364
3,11,483
3,12,354
3,13,133
3,14,92
4,1,110
4,2,128
4,3,453
4,5,485
4,6,335
4,7,122
4,8,476
4,9,283
4,10,206
4,11,408
4,12,253
4,13,147
4,14,192
5,1,94
5,2,351
5,3,328
5,4,485
5,6,276
5,7,460
5,8,368
5,9,313
5,10,381
5,11,283
5,12,187
5,13,536
5,14,494
6,1,125
6,2,216
6,3,493
6,4,335
6,5,276
6,7,349
6,8,117
6,9,235
6,10,498
6,11,104
6,12,495
6,13,479
6,14,399
7,1,493
7,2,513
7,3,270
7,4,122
7,5,460
7,6,349
7,8,418
7,9,336
7,10,546
7,11,240
7,12,275
7,13,346
7,14,415
8,1,416
8,2,471
8,3,333
8,4,476
8,5,368
8,6,117
8,7,418
8,9,326
8,10,310
8,11,308
8,12,90
8,13,352
8,14,347
9,1,258
9,2,101
9,3,187
9,4,283
9,5,313
9,6,235
9,7,336
9,8,326
9,10,567
9,11,472
9,12,409
9,13,104
9,14,247
10,1,449
10,2,332
10,3,364
10,4,206
10,5,381
10,6,498
10,7,546
10,8,310
10,9,567
10,11,426
10,12,127
10,13,350
10,14,121
11,1,444
11,2,152
11,3,483
11,4,408
11,5,283
11,6,104
11,7,240
11,8,308
11,9,472
11,10,426
11,12,431
11,13,125
11,14,200
12,1,378
12,2,202
12,3,354
12,4,253
12,5,187
12,6,495
12,7,275
12,8,90
12,9,409
12,10,127
12,11,431
12,13,124
12,14,521
13,1,507
13,2,168
13,3,133
13,4,147
13,5,536
13,6,479
13,7,346
13,8,352
13,9,104
13,10,350
13,11,125
13,12,124
13,14,336
14,1,111
14,2,230
14,3,92
14,4,192
14,5,494
14,6,399
14,7,415
14,8,347
14,9,247
14,10,121
14,11,200
14,12,521
14,13,336
